A: 	ja 
A: 	ja ik zien hem 
A: 	en die Pippi Langkous die hebben dat zijn veel een beetje wat zijn dat ? van die diamant drie diaman aan de beide 
A: 	ja 
B: 	hij hebben aan de het hij staan eigenlijk ook gewoon op een op een vierkant op een blauw vierkant 
A: 	vijf 
B: 	ja ja ja aan allebei de kant 
A: 	dit zijn Pippi Langkous 
B: 	ja ja ja 
B: 	J 
A: 	waar staan je ? ja daar 
A: 	elf 
B: 	weer die op een vierkant plaat staan en aan allebei de kant zo'n diaman 
A: 	veel boven bij mij 
A: 	Pippi Langkous 
B: 	ja 
B: 	P 
A: 	Pippi Langkous ja 
A: 	negen 
B: 	weer die op op dat vierkant staan en met die diaman 
B: 	ja 
B: 	L 
A: 	Pippi Langkous 
