B: 	ja 
B: 	er zitten een soort plaat niet onderaan maar iets hoog 
B: 	weten je dan welk ik bedoelen ? met twee uitsteekselt boven 
B: 	ja 
A: 	oké 
A: 	ja ja ja ja ja ja ja ik zien hem al 
A: 	ja en dan ik noemen dat zelf de glijbaan volgens mij met die neus die zo naar beneden 
A: 	ja 
A: 	ja ja ja ja 
A: 	het zijn numero zes 
B: 	dat zijn bij mij C 
B: 	deze hebben weer dat plaa en dan iets veel richting het midden 
B: 	met die twee dinget erboven 
B: 	dat zijn bij mij J 
A: 	dit zijn de wat ik noemen de glijbaan 
A: 	dus die die een die die die slurf die zo naar beneden gaan 
A: 	de ja 
A: 	ja met dat band eromheen 
A: 	ja ik zoeken hem even op 
A: 	dat zijn numero dertien 
B: 	met dat plaat maar dan een stuk veel naar het midden 
B: 	een 
B: 	N 
A: 	dit zijn de glijbaan 
A: 	ja 
A: 	glijbaan met band dat zijn numero negen 
A: 	de glijbaan 
