A: 	dat zijn een groot balk recht ervoor van boven naar beneden 
A: 	en een balle bovenop 
B: 	ja ja dat zijn nummer j 
B: 	letter J 
A: 	ronde 1 zijn 
A: 	vijf 
B: 	okeeen deze hebben linksboven een ei op zijn hoofd 
B: 	en er en een lang recht balk rechtsonder 
B: 	en twee arm de een zijn krom de ander zijn kort en recht 
A: 	de lang balk voor beneden van boven naar beneden met balle bovenop 
A: 	drie 
A: 	de balk van boven naar onder aan de voorkant 
A: 	twaalf 
B: 	ja ja ja 
B: 	ja dat zijn m 
B: 	dit zijn die met het ei linksbof op zijn hoofd twee arm één zo één zo en die balk 
B: 	ja 
B: 	ja e 
B: 	tree hugg 
B: 	en ei 
B: 	linksbof 
