A: 	dan zitten hij op de goed plek 
A: 	oké deze zijn volgens mij hebben ik wel denken ik nou gewoon bekervorm natuurlijk en dan hebben je een staafje er dwars doorheen maar dat zijn best wel een klein staafje en dan hebben je twee driehoeken 
A: 	die een soort van in liggen in het volgens mij hebben er maar één die 
A: 	en daar zijn er twee uitsteeksel die vastzitten aan driehoeken 
A: 	aan de nee aan de vierhoek eigenlijk het zijn een er zijn twee kubus die liggen op hun liggen op hun punt in de beker 
A: 	en daar zijn 
A: 	ja precies er gaan drie stok in er zijn twee uitsteeksel 
B: 	ja dat zijn N 
A: 	ja 
B: 	dit zijn weer diegene met het vierkant kantelen dat dat erboven uitsteken 
B: 	en twee van die oplopen kubus uit dat vierkant 
B: 	eruit 
B: 	en 
B: 	ja ja 
A: 	ja ik zien hem 
A: 	ja 
A: 	dat zijn negen 
B: 	ja met die kubus aan allebei de kant van het 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die met die ruit of het vierkant erboven uitstekend met de kubus die groot worden 
B: 	en en nog 
A: 	oké ik zijn weer ach dit zijn weer die de vierkant die op zijn zij liggen in het kop met de twee vierkant die er soort van in gaan doen 
A: 	er zitten een het zijn een vierkant die op zijn in zijn op zijn punt in het kop liggen 
A: 	met twee vierkant die steeds klein worden 
A: 	die hendel 
B: 	ja ja dat zijn D 
B: 	dit zijn weer met dat vierkant erbovenop met de groot worden kubus aan allebei de kant van dat vierkant 
B: 	en nog de drie armp 
A: 	ja 
A: 	oké even kijken waar zijn die 
A: 	waar zijn die 
A: 	zijn het zijn het zijn het die met de zijn het die met de de vierkant de waar die in zitten in de hoek 
A: 	ja die zijn het ja 
A: 	die zijn zo ingewikkeld 
A: 	elf zijn dat 
A: 	en even kijken hoor 
A: 	ja dit zijn met de driehoek en de twee de de vierhoek met de twee vierkant die eraan vastzitten als hendel 
A: 	zijn jij 
A: 	ja 
A: 	met die twee uitsteeksel ja 
A: 	dat zijn veertien click of the computer 
