B: 	aan de bovenkant zitten twee heel klein staaf 
B: 	lijken een beetje op de twin Towers 
B: 	die nog niet omgevallen zijn 
B: 	en aan de in het doormidd zitten een soort van platformp 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en zullen ik hem ver beschrijven 
A: 	met een soort pij dat omhoog wijzen aan de linkerkant 
A: 	twee punt bovenop 
A: 	en een diagonaal regenpijp in het midden beetje aan de rechterkant 
A: 	oké 
A: 	twaalf 
B: 	ja 
B: 	ja ja ik ja 
B: 	waar zitten die ja daar 
B: 	à 
B: 	die schijf die door het midden gaan en dan zo'n twee van die klein dinge bovenop 
B: 	waar zitten die 
B: 	nee ? ja 
B: 	met dat staafje dat naar je toekomen toch 
B: 	dat 
B: 	ja glijbaan ja 
B: 	k 
B: 	ik hebben de de Mini twin Towers bovenop en dan die plaat die erdoorheen gaan 
B: 	en de glijbaan 
A: 	deze hebben een klein pijpje aan de linkerkant 
A: 	en zeggen maar niet halverwege maar op te hoogte van een drie van de emmer van de onderkant zien , zijn er een soort vierkant blad om de heel emmer heen , lijken het 
A: 	aan de bovenkant hebben hij twee 
A: 	ja schoorsteen 
A: 	en aan de voorkant ook een soort afvoerbuis of ik weten niet 
B: 	ja 
B: 	k 
A: 	ja 
A: 	en één en een soort pij dat zo aan de linkerkant eruit komen 
A: 	ja 
A: 	nummer vier 
A: 	deze zijn met dat pijpje aan de linkerkant , hij roken pijp 
A: 	aan de linkerkant , en hij hebben bovenop twee haart , na ja twee staaf die er uitsteken en halverwege zijn middel zijn er dat vierkant 
A: 	ja 
A: 	ja 
A: 	en een pijpje 
A: 	nummer elf 
A: 	deze zijn met het pijpje en de een een vierkant plank als soort van tutu , hoe noemen je dat , die ballerina , zo'n jurk lijken het wel , zo'n 
