B: 	aha nou ik ik krijgen nu het rood vierkantje te zien 
B: 	jij niet denken ik dan 
A: 	ik hebben geen rood vak dus jij moeten uitleggen welk het zijn 
B: 	kijk zoals ik het zelf aanpakken hebben ik zijn ook wel benieuwd hoe jij dat doen hebben toen zijn dat ik heel erg let op een bepalen object wat er heel erg uitsteken 
B: 	en zo hebben ik ze bij de vorig test ook invullen 
B: 	waar let jij op op het moment dat je een object zien 
A: 	ja 
A: 	zitten een schotel aan de achterkant 
A: 	en die die staan rechtop zeggen maar 
A: 	Ah okee en dan zo'n zo'n zo'n zo'n kegeltje rechtsboven ook 
B: 	ja misschien ook toevallig dinget met gezicht enzo ? hebben je daar ook een beetje 
A: 	okee 
B: 	niet echt 
A: 	ja dat weten ik wat het het zijn vier 
B: 	okee 
A: 	okee vier 
B: 	ja 
B: 	nou goed ik gaan deze gewoon proberen om om hem zo duidelijk mogelijk te beschrijven 
B: 	ik kijken ook vaak naar de plaat bijvoorbeeld te opzicht van de ander als er iets ander missen en dit hebben echt één significant ding 
B: 	goed deze die ik vinden het allemaal een beetje op koffiekop lijken deze ook staan op een nek 
B: 	en hebben voor mij zeggen maar aan de linkerkant een soort pinokkio-neus 
B: 	en en een soort schijf 
B: 	ja 
B: 	ja precies 
B: 	ja 
A: 	deze volgens mij gaan we nu weer opnieuw toch 
A: 	deze hebben weer zo'n zo'n cirkel aan de achterkant 
A: 	verticaal rechtstaand 
A: 	zo'n cirkel 
A: 	dan rechtsboven zo'n kegeltje zo'n speen 
A: 	en dan links steken er een cilinder uit 
A: 	ja dat zijn het 
A: 	ja 
A: 	de cirkel aan de achterkant 
A: 	ja 
A: 	en dan rechts ja een half cirkel zeggen maar 
A: 	zo rechtsboven erop ja 
A: 	en dan links steken er een cilinder uit 
B: 	een toiletpot 
B: 	ik moeten deze nog even zien uitfiekelieren 
B: 	ja ja ja 
B: 	kunnen je hem nog een keer omschrijven 
B: 	ja 
B: 	ja ik weten welk je bedoelen 
B: 	dan gaan ik voor f 
A: 	ja 
A: 	okee 
A: 	wachten 
A: 	wachten welk zijn het 
A: 	die op dat standaard staan bedoelen je 
A: 	ja 
A: 	en dan dat blok wat er bijna af vallen 
A: 	ja 
A: 	je bedoelen die gewoon met die met die cirkel aan de achterkant 
A: 	ja 
A: 	twaalf 
B: 	nou deze die staan op een USB-C poort 
B: 	met een ja met een neus naar naar links en een schijf aan de achterkant 
B: 	en een lepeltje 
A: 	dit zijn met dat half cirkeltje aan de achterkant en dan dat kegelt rechts erbovenop 
A: 	ja 
A: 	ah die half cirkel achterop 
A: 	twaalf 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij f 
A: 	dit zijn met die half half cirkel achterop en dan nog die cilinder aan de zijkant 
A: 	die op dat verhogink staan 
B: 	deze die hebben een USB-C poor 
B: 	kunnen je hem al vinden 
B: 	zijn die er nog 
B: 	yes 
B: 	ja 
B: 	dat zijn f 
