B: 	die soort van kegel van bowling 
B: 	ja 
B: 	ja 
B: 	ja dat zijn E 
A: 	deze hebben van mij zijn het cupje en hij oeh ja hij hebben 
A: 	ik vinden het een soort één één het zijn één verrekijker zeggen maar dat die naar voren steken 
A: 	dus het zijn zeggen maar blok zo blok blokje en dat zijn dan zo groot worden 
A: 	ja 
A: 	ja ja één om één omhoog en één naar de zijkant 
A: 	en dan hebben die een soort slurf aan de achterkant 
A: 	oeh nee 
A: 	nee het zijn één verrekijker het zijn niet de twee verrekijker 
A: 	ja 
A: 	ja 
B: 	het zijn de kegel erbovenop een kegel naar die kant richten denken ik en dan hebben die hier zo'n verrekijkerachtig ding 
B: 	en dan nog een soort van bikinibroekachtig uitlaat aan de die kant 
A: 	ja 
A: 	ik zitten hem even te zoeken de een verrekijker 
A: 	ja oké 
A: 	nummer elf 
B: 	ja J 
B: 	het zijn die met een kegel op zijn hoofd en een kegel als neus en dan een verrekijker 
B: 	en dan nog een mormel 
A: 	ik hebben de één verrekijker zeggen maar 
A: 	met twee staf zo 
A: 	ja 
A: 	ja 
B: 	god 
B: 	ja B 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	het zijn die met een kegel erop kegel als neus en een verrekijker 
B: 	en nog een dinge 
A: 	sorry de 
A: 	de één verrekijker 
A: 	ja 
A: 	staart 
A: 	ik zitten even te kijken waar kunnen ik hem vinden 
