A: 	ja 
A: 	nummer twee 
B: 	ja nou we hebben de de adapter weer 
B: 	ja 
B: 	ja 
B: 	ja die 
B: 	ja 
B: 	dat zijn G 
A: 	dit zijn die die met die twee bliksemschicht aan de links kant Spijker erin en een vierkant een vierkant vlak ertegenaan 
A: 	robot 
A: 	ja 
B: 	ja dit zijn die met die twee wolkenkrabber 
B: 	die tegenaan 
B: 	ja ja ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn nummer negen 
B: 	ja 
B: 	D 
A: 	dit zijn de robot 
B: 	dit zijn die twee wolkenkrabber 
B: 	ja 
A: 	de robot zitten 
A: 	ja bij mij ook wel een beetje 
A: 	ja maar de robot zijn in ieder geval nummer één 
B: 	B 
A: 	robot 
