A: 	ja 
A: 	ja 
A: 	ja en die hebben ook nog zo'n zo'n klein 
A: 	ja ja precies ja 
A: 	oké dat zijn zestien 
B: 	dit zijn zeggen maar dat komme er zitten een heel klein stuk aan de bovenkant en er zitten zeggen maar een tafel maar die zitten heel hoog 
B: 	en er zitten daar dan weer een bak op 
B: 	zeggen maar zo'n bloempot en daar zitten daarboven dan zo'n balkonhouderding 
B: 	ja 
B: 	ja dat zijn hem 
B: 	ja 
A: 	ja ik hebben weer die ja ik ik zien dat dus als een soort bank 
A: 	die jij uitlegen met die trapezium die ondersteboven staan 
A: 	ja 
B: 	ja 
B: 	dit zijn P 
A: 	ja 
A: 	oké dat zijn ja en die trapezium weer hè ? ja 
A: 	dat zijn veertien 
B: 	dit zijn die pot zeggen maar met dat tafel voor 
B: 	waar een bak op staat 
B: 	daarboven zeggen maar 
B: 	ja 
B: 	die kruiwag 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn de kruiwag 
A: 	ik hebben diegene met dat bank 
A: 	ja 
A: 	dat zijn tien 
B: 	kijken 
B: 	ja dat zijn D 
A: 	ik hebben de bank 
A: 	zitten bij mij rechts 
