A: 	zijn weer de bak aan de bovenkant zijn een vierkant dat doorboren worden door door eigenlijk twee torent 
A: 	en het vierkant zijn een wat zullen we 45 graad draaien 
A: 	dat steken hij zo in de bak 
A: 	ja 
A: 	nee zijn een plat vierkant 
A: 	ja eigenlijk twee plat vierkant 
A: 	ja als je er zo naar gaan kijken 
A: 	maar je zien hem 
A: 	top 
B: 	ja 
B: 	ja ik denken dat ik hem ja ik weten hem dit zijn G 
A: 	bovenop de kop staan twee ding 
A: 	ja 
A: 	ja 
A: 	ik zien hem niet 
A: 	nee ik zien hem niet 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	ja 
A: 	dan hebben ik hem 
A: 	dan 
A: 	negen 
B: 	deze hebben heel veel , deze hebben aan de onderkant een soort poo , voe 
B: 	en linksbof ja een soort van twee vierkante , die , ja ruiten , die , ja , links en rechts steeds groot vierkanten krijgen zeggen maar 
B: 	en rechtsvoor ja zo'n vogelhuisstokje 
B: 	en daar onder ook nog een soort staaf 
B: 	het belangrijk zijn dat hij een voe hebben 
B: 	ja aan de onderkant 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	steeds groot vierkant ja 
B: 	ja 
B: 	ja dat zijn hem 
B: 	ja 
A: 	toilet met daarbovenop de weer dat , die twee vierkante , met aan de zijkant een pilaar wat er in steken 
A: 	rechterkant zitten twee uitsteeksel 
A: 	misschien naar als je bovenop kijken 
A: 	daar zitten twee vierkant plaat , en aan de beide kant van de pilaar , van de plaat , zitten een uitsteeksel 
A: 	ja 
A: 	ja ja ja 
B: 	die kubus die groot worden 
B: 	en een poo onderaan 
B: 	ja 
B: 	ja dat zijn O 
A: 	ja 
A: 	ja 
A: 	ja nummer twee 
B: 	deze hebben een voe aan de onderkant 
A: 	Frankenstein 
B: 	en bovenop zo'n ja vierkant ruit waaruit twee links en rechts , ja 
A: 	nummer dertien 
B: 	en een voe 
B: 	ja 
B: 	I 
B: 	deze hebben een poo aan de onderkant 
B: 	en poo rechts 
B: 	en bovenop die vierkant en kubus die groot worden 
B: 	ja we moeten er een naam voor bedenken , 
B: 	een voe aan de onderkant 
B: 	en ja die pinokkioneus die je zeggen , rechts voor een beetje 
B: 	en bovenop ja een vierkant , twee vierkante , met aan beide kant , links en rechts , kubus die steeds groot worden 
B: 	ja beetje rechts naar voren , rechtsvoor , ja , voor ons 
B: 	en daar onder zitten nog een soort poo zeggen maar 
B: 	haak , ja , hoe je het noemen 
B: 	maar hij hebben een voe , dat zijn het belangrijk 
B: 	nee nee nee 
B: 	of zo'n poo , ja 
B: 	ja een een staafje 
B: 	voor rechts 
B: 	ja 
B: 	en daar onder zitten nog een ding 
B: 	ja niet echt nee 
B: 	nee bovenop hebben hij ook wat , ja van die vierkant , en dan links en rechts , die kubus die steeds groot worden 
B: 	links en rechts ja 
B: 	ja we noemen hem ruit 
B: 	ja we noemen hem ruit 
B: 	ja 
