B: 	okeeen deze hebben weer zo'n neus aan de rechterkant 
B: 	en twee verschillend sprieet bovenop zijn hoofd 
B: 	een recht en één met een raar vorm 
A: 	okee 
A: 	dertien 
B: 	je moeten ze ook maar net zien 
B: 	ja 
B: 	ik kunnen ze niet ik kunnen ze niet vinden 
B: 	die met twee verschillend oor zeggen maar bovenop 
B: 	okee dat zijn I 
B: 	deze hebben een neus rechts maar geen piercing 
A: 	deze hebben een aardappelneus een bol neus 
A: 	en precies in het midden een staaf recht overeind en zijn oor zijn eigenlijk een ook een staaf met een driehoekvorm 
A: 	en dan zijn er nog één 
A: 	ja 
A: 	dit zijn het driehoekoor 
A: 	nee dat zijn het niet 
A: 	het oor zijn dus zeggen maar een driehoek 
A: 	driehoeksstaafvorm daar zijn er maar één van 
A: 	twee staf op hoofd 
A: 	van verschilen vorm 
A: 	ja 
B: 	piratenverrekijker 
B: 	okee 
B: 	I 
B: 	de neus zonder piercing met twee voelsprieten 
B: 	l 
A: 	ja negen 
A: 	deze hebben een driehoek een driehoeksoor 
A: 	Aardappelneus 
A: 	een staaf en een hendel of ja staaf ja 
A: 	ja 
A: 	ja dat zijn zes 
A: 	driehoeksoor 
A: 	Aardappelneus 
A: 	misschien zijn dat een beetje een indiaan 
