A: 	ja ja 
A: 	oké 
A: 	zijn zes 
B: 	oké het plaat hebben 
B: 	zeggen maar zo'n plat vierkant ding dwars door het ja tegen de onderkant aan van het kop 
B: 	en dan zitten er nog een soort van Ronde Buis aan de voorkant 
B: 	en aan de linkerkant zitten er nog een vierkant staaf met een hoek erin 
B: 	en aan de bovenkant zitten nog twee van die ministaaf 
B: 	ja 
B: 	zeggen maar ja dwars of hoe noemen je dat 
B: 	zo erdoorheen 
A: 	dit zijn dat komme met een een platformp ertussen 
A: 	en dan zitten er nog zo'n soort ja ik zien het een beetje als een soort van glijbaan maar 
A: 	ja 
A: 	ja want het zijn ja ja dat zijn dertien 
A: 	dit zijn degeen met platform in het midden en de glijbaan 
B: 	ja aan de bovenkant twee 
B: 	ja 
B: 	dat zijn C 
B: 	ja 
B: 	C 
A: 	de glijbaan waar zijn je 
A: 	ja dat zijn negen 
B: 	dit zijn die met de vierkant plaat er dwars doorheen 
B: 	en dan twee van die punt bovenop 
B: 	en aan de voorkant nog een rond staaf en links nog een hoekig ding 
A: 	dit zijn met glijbaan en het platform erdoorheen ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met het vierkant plateau er dwars doorheen 
B: 	en die twee punt aan de bovenkant 
B: 	ja 
B: 	oké dat zijn N 
