B: 	twee balk aan de rechterkant waar staan die ? ja die 
B: 	ja een soort hoedje op zeggen je 
B: 	ja ja ja ja ja 
B: 	bij mij zijn dat zijn dat nou een I of een L 
B: 	dat zijn de I 
A: 	deze zullen ik de ander stekker noemen 
A: 	maar dan aan de rechterkant steken er twee wat bredere pinn uit 
A: 	hij hebben een soort drinktui aan de bovenkant 
A: 	en links nog twee verschillend soort uitsteeksel 
A: 	één midden één wat veel onderaan 
A: 	nice ja nee net 
A: 	net 
B: 	dan dit zijn met die die twee balk aan de rechts kant 
B: 	en een hoed op 
B: 	uitlaat het hoedje en de balk naar rechts ja dat zijn bij mij M 
A: 	ja 
A: 	oké ja hebbes nummer twee 
B: 	het hoedje en de twee balk aan de rechts kant 
B: 	het hoedje en de twee balk zijn bij mij F 
A: 	het varken 
B: 	het hoedje en de twee balk aan de rechts kant 
A: 	varken waar zijn je ? waar zijn je ? waar zijn je 
A: 	hebbes 
A: 	nummer negen 
A: 	varken 
A: 	varken waar zijn je 
A: 	hebbes 
A: 	nummer zes 
