B: 	even kijken deze hebben een een soort wokkel aan de onderkant en daaraan een driehoekje 
B: 	heel kenmerken 
B: 	ja kunnen er echt maar één zijn 
A: 	ja ja ik zien er een juichen persoon in 
A: 	maar inderdaad 
A: 	twee armp op één been staan die op een driehoek plateau 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	ja 
B: 	dat zijn voor mij A 
A: 	dit zijn dat juichen persoon op dat driehoekig plateau 
A: 	die ja je hebben dan dat dat vormp de basisvorm 
A: 	daarbovenop zitten een soort spiraal die naar een driehoekig plateau gaan 
A: 	en ver staan er twee blok en nog een ander soort uitsteeksel 
A: 	nee 
A: 	nee die ook niet 
A: 	dus best wel langwerpig 
A: 	dus de basisvorm en daaronder komen een soort spiraalvorm uit 
A: 	en die zitten op dat driehoekig plateau 
A: 	ja 
B: 	dit zijn die met het wokkeltje en het driehoekje eronder 
A: 	ja 
A: 	die toejuichen 
A: 	ja 
A: 	dat zijn nummer tien 
B: 	oké 
B: 	dat zijn L voor mij 
A: 	dit zijn de juichen persoon 
A: 	dus met de spiraal op een driehoekig plateau 
B: 	dit zijn die weer met de wokkel en het driehoekje aan de onderkant 
B: 	ja 
B: 	F 
A: 	die toejuichen 
A: 	die persoon ja 
A: 	oké 
A: 	dat zijn nummer vier 
A: 	dit zijn dat juichen poppe 
A: 	dus op het driehoekig plateau 
A: 	met de spiraalvorm 
A: 	en dan 
