A: 	je je kunnen ook kort naam bedenken 
A: 	ja 
A: 	welk zijn die bij jou 
A: 	N 
A: 	oké 
A: 	N achten 
B: 	deze vinden ik het het kut 
B: 	even kijken 
B: 	er liggen zeggen maar een balk op 
B: 	een langwerpig balk 
B: 	bovenop 
B: 	en 
B: 	ja ja omdraaien zeggen maar op zijn op de kop 
B: 	ja 
B: 	ja ik weten niet wat het 
B: 	ja dat lijken een beetje op een schepje 
B: 	ja 
A: 	oorbel van jou 
A: 	oorbel balk op het hoofd 
A: 	één 
A: 	één 
A: 	yes 
B: 	ja 
B: 	E 
A: 	ja ik weten wel ik weten welk je bedoelen 
A: 	oorbel dus drie ding ja 
A: 	welk zijn het 
A: 	O 
A: 	O elf 
B: 	weer die balk en dan die die scoop hoe heten dat die die beker op de kop en die schep 
A: 	oorbel 
A: 	bal een balk op het hoofd 
A: 	vier 
B: 	ja die 
B: 	waar staan die 
B: 	ja nou vinden ik hem heel makkelijk 
B: 	ah hier 
B: 	E 
A: 	jou oorbel 
A: 	denken je of 
A: 	ja de omgedraai driehoek inderdaad met een staafje boven 
A: 	ja 
A: 	oké 
A: 	C zestien 
B: 	weer die beker op de kop en die die schep erbij 
A: 	oorbel of die nee sorry ja die oorbel van jou 
A: 	met 
A: 	met een balk op het hoofd ja 
A: 	één 
B: 	ja 
B: 	O 
