A: 	ja deze vinden ik een beetje lijken hij hebben een uitsteeksel en daar zitten een spijker in 
A: 	best wel groot spijker 
A: 	aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	bij mij negen 
A: 	o ja zijn zeven bij mij 
B: 	ja 
B: 	wat grappig ja 
B: 	ik noemen dat de spijker in de arm 
B: 	dus een plateau inderdaad en aan de linkerkant zitten een uitstulpsel met daarin weer wat 
B: 	dan gaan het om L 
A: 	dit zijn die spijker 
A: 	vijftien 
B: 	dit zijn jou dienblad met spijker 
B: 	met trompet zeggen maar 
A: 	ja bij mij zijn dat één 
B: 	jou serveerster of mijn serveerster 
B: 	gaan het om 
B: 	gaan het om C 
A: 	dit zijn de spijker 
B: 	dit zijn de serveerster met de trompet slash Spijker 
A: 	zijn dertien 
B: 	dat gaan dan om A 
B: 	dit gaan om de spijker serveerster 
B: 	trompet 
