A: 	oké deze hebben een piramide op zijn hoofd 
A: 	ja dat zijn eigenlijk het dat zijn het groot onderscheid tussen al die ander ding en dan zitten er nog van alles aan heel groot 
A: 	ja 
A: 	precies die bijna erin zitten 
B: 	ok 
B: 	dat zijn J voor mij 
A: 	ja 
A: 	ja 
A: 	zes 
A: 	met de piramide bovenop 
A: 	piramide en een kogel ja 
B: 	ok dit zijn met die puntig piramide op zijn kop 
B: 	die spits ja 
B: 	allemaal random ding 
A: 	ja dat zijn tien 
B: 	ja dat zijn E 
A: 	rood 
A: 	de piramide 
A: 	tien 
B: 	dit zijn met die puntig driehoek en een potloodpunt 
B: 	ja dat zijn voor mij G 
B: 	dit zijn met die puntig driehoek en een potloodpunt 
