A: 	ja 
A: 	dat zijn nummer twee hier 
A: 	ja 
B: 	ik hebben deze als een soort vierkant spijker door zijn waar ze als oog 
B: 	ja normaal spijker en er zitten nog een vierkant plaat of tegen he ja 
B: 	ok 
A: 	dit zijn het kop met aan de linkerkant twee handvat met 
B: 	o ja de normaal spijker en het vierkant aan de voorkant 
B: 	ok G 
A: 	blok die groot beginnen en steeds klein worden 
A: 	aan de bovenkant zitten een een soort van prikker en daarvoor een vierkant blok plat 
A: 	plat vierkant blok 
A: 	nee aan één kant 
A: 	allebei aan de linkerkant 
A: 	ja 
B: 	o Spijker bovenop vierkant aan de voorkant twee spijker nog of twee vierkant spijker als oog 
B: 	ja die normaal spijker inderdaad bovenop ja 
B: 	o jij noemen hem de normaal spijker ok dan zullen ik dan zullen ik die gebruiken volgen keer 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen hier 
B: 	met vierkan aan de voorkant 
B: 	ja 
B: 	D 
A: 	dit zijn de mok die aan de linkerkant twee handvaet hebben maken van groot naar klein lopen blok 
A: 	een vierkant plakkaat aan de voorkant en een soort antenne aan de bovenkant 
B: 	met de normaal spijker bovenop 
B: 	en vierkant vooraan 
A: 	ja 
A: 	een antenne 
A: 	ja nummer één 
B: 	ja en vierkant oog 
B: 	even kijken B 
A: 	dit zijn de mok die aan de linkerkant twee dezelfde hengsel hebben met die blok die van groot naar klein gaan 
A: 	en een vierkant aan de voorkant en een antenne aan de bovenkant 
