A: 	deze hebben ook zo'n ei 
A: 	alleen er zitten een een een balk doorheen zeggen maar steken 
A: 	en aan het eind van die balk hebben je een een rond 
A: 	en dan boven in de kop steken er ook nog een soort van lepeltje uit 
A: 	dus als je even kijken naar welk allemaal een ei hebben dan zijn er dus één een soort van doorgespiest 
A: 	ik weten niet of je hem nu zien 
A: 	nee aan de voorkant aan de voorkant van de van de van het kop zeggen maar 
A: 	ja 
B: 	ja 
A: 	ja ja ja ja 
B: 	ja 
B: 	met een plat stuk eraan 
B: 	ja dan weten ik welk het zijn en er zitten nog één fliep 
B: 	ja 
B: 	oké dan zijn het F 
B: 	oké dit zijn degeen met de bal aan de voorkant waar dat ding doorheen zitten en dan aan de achterkant nog zo dat 
A: 	yes 
A: 	vijf 
B: 	ja dat zijn A 
B: 	ik hebben diegene met een bol aan de voorkant waar een ding doorheen zitten en één fliebel 
B: 	ja 
B: 	ja even zoeken ja ja dat zijn h 
A: 	dit zijn met dat ei met zo'n balk erdoorheen 
A: 	en zo'n plat rond aan de achterkant en dan een lepeltje eruit 
A: 	ja ja ja 
A: 	ja dat zijn vijf 
B: 	ik hebben die boor met die balk erdoorheen met zo'n fliebel in die pot 
A: 	dit zijn met dat ei aan de voorkant waar zo'n balk doorheen spiest met een plat cirkel eraan en een lepel eruit 
A: 	aan de bovenkant 
A: 	vijftien 
