B: 	hier zitten bovenop de emmer liggen soort van een klein rechthoek 
B: 	en dan aan de linkerkant komen er een soort tui op zijn kop uit 
B: 	die een beetje rond zijn 
B: 	en aan de rechterkant zijn ook een tui 
B: 	wat lijken op een driehoek 
B: 	en daarbovenop een staafje 
B: 	dat zijn een beetje niet niet heel bijzonder hij zijn nogal compact 
B: 	het zijn de emmer hebben erbovenop liggen er soort van een vierhoekig staafje 
B: 	aan de linkerkant komen er een ja soort van tui uit maar dan op zijn kop 
B: 	wat een beetje rond vorming onderaan hebben 
B: 	en aan de rechterkant zitten er een driehoekig tui met daarop een staafje 
B: 	ja h 
A: 	ja 
A: 	staafje naar beneden 
A: 	even kijken het zijn niet één waarop een soort ei boven liggen 
A: 	die 
A: 	en dan hebben het een soort waarop waaruit een soort water uit zullen kunnen komen en dan in de rechterhoek een soort lang opengeslagen boek zoals jij net 
A: 	en dan daaruit ook nog iets wat omhoog kruipt 
A: 	dus laten maar zeggen alsof je een soort rechthoekje uit het beker zullen uithalen dat het zegn maar zo daaruit steken een beetje 
A: 	zijn het die 
A: 	okee 
A: 	dan zijn het nummer vijfteen 
B: 	deze hebben die omgedraaide trechter aan de linkerkant soort van de neus 
B: 	en bovenop een rechthoekig staafje 
B: 	ja p 
B: 	deze hebben de omgedraai trechter neusachtig iets aan de linkerkant en die staaf bovenop 
B: 	f 
A: 	deze zijn één waaruit laten maar zeggen volgens mij omschrijven we het zijn een soort een soort kegelvorm waaruit wat zeggen maar linksonder van het bekert zitten 
A: 	en daarboven lijken het alsof er een soort rechthoekje blok daaruit komen 
A: 	en aan de rechterzijde liggen er zeggen maar langwerpig opengeslagen boek 
A: 	laten maar zeggen alsof er een soort blok uit het beker naar boven komen 
A: 	en daar rechts van het bekert zitten een soort ja iets waaruit zeggen maar water uit zullen kunnen lopen 
A: 	en daar rechts van lijken het alsof er een soort opengeslagen boek zijn maar dan zeggen maar wat lang 
A: 	en daarin staan ook nog een heel klein staafje omhoog 
A: 	laten maar zeggen het opengeslagen boek daar lijken het alsof er ook nog een soort staafje daaruit lopen 
A: 	ja daarboven alsof je laten maar zeggen echt een soort balkje uit het beker zullen halen 
A: 	dat balkje wat je eruit halen laten maar zeggen of dat laten maar zeggen uit het beker komen 
A: 	ja dat zijn nummer dertien 
A: 	even kijken dit zijn dus waar het blok uit het beker komen 
A: 	met het opengeslagen boek wat lang aan de rechterzijde 
A: 	en aan de linkerzijde een soort iets waaruit water zullen kunnen komen 
A: 	ja 
A: 	dat zijn nummer twaalf 
A: 	blok wat uit het beker komen 
A: 	langerwerpig of ja lang opengeslagen boek rechts 
A: 	en tui waaruit water kunnen komen link 
A: 	uit dat beker 
