A: 	oké deze zijn een beetje lastig uit te aanleggen aan de rechterkant zijn een soort van een soort van het lijken een beetje op een dienblad een plat cirkel laat maar zeggen 
A: 	die aan de rechterkant uitsteken 
A: 	en aan de linkerkant steken er ook iets uit met daar een soort van piek bovenop 
A: 	ja 
B: 	ja 
B: 	welk cijfer hebben die bij jou 
B: 	zijn het hoog cijfer 
B: 	negen 
B: 	oké nee 
B: 	er zijn een spijker in in het handvat ongeveer 
B: 	ja 
B: 	oké bij mij zijn dat L 
A: 	ja dat zijn nummer zeven bij mij 
B: 	dit zijn het kop met de bijzet tafel 
B: 	en met die spijker in het 
B: 	ja ja 
A: 	ik hebben diegene met dat plateaut weer aan de rechterkant en dan dat uitsteeksel met die piek erop 
B: 	ah ja C 
A: 	ja nummer één 
A: 	ja wel 
B: 	die met de spijker 
B: 	en het bijzettafelt 
A: 	ik hebben die met dat plateaut aan de rechterkant 
A: 	en dat uitsteeksel met die piek aan de linkerkant 
B: 	ja 
B: 	A 
A: 	dat zijn bij mij nummer ik zijn hem even kwijt hoor 
A: 	nummer dertien 
B: 	met de spijker en het bijzettafelt 
