A: 	en één zitten zeggen maar voor het object en één zitten er rechts naast 
A: 	negen 
A: 	ik hebben die ja dat dat ding wat door het voorwerp heen gaan met die twee poet één daarvoor en één er rechts naast 
A: 	die tafel 
A: 	de waar we één één poot ervoor staan één poot erlangs 
A: 	zes 
B: 	deze hebben een soort van plateau boven het midden dit zijn een beetje raar en die hebben dan twee poo 
B: 	links en rechts 
B: 	en in het midden zitten , van het plateau zegmaar , zitten ja een soort piramide op zijn kop 
B: 	ja ja 
A: 	ik hebben die tafel met één poot ervoor en één poot erlangs 
A: 	ja 
A: 	ja elf 
B: 	ja 
B: 	piramide op zijn kop ja 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	de tafel met één poot ervoor en één poot erlangs 
B: 	hoe noemen we deze ook alweer ? deze hebben zo'n vierkant boven het midden en dan twee stok aan 
B: 	links en rechts en een piramide op zijn kop er bovenop 
B: 	en een klein haak linksbof 
B: 	niet veel hoe we die noemen 
B: 	zo ja 
B: 	ja 
B: 	ja dat zijn hem , ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	piramide op zijn kop 
B: 	ja 
B: 	I 
B: 	dit zijn dat dienblad die je om kunnen gooien 
B: 	ho 
B: 	en en een piramide op zijn kop 
B: 	ja 
B: 	ja ja ja 
B: 	ja 
B: 	ik zoeken hem 
B: 	ja 
B: 	L 
