A: 	ok ja deze hebben aan de zijkant eigenlijk gewoon een balk die eigenlijk door het glaas heen lopen zeggen maar 
A: 	en aan het uiteinde van allebei die kant hebben het weer een rond 
A: 	aan de achterkant zitten een ja soort vierkant ja ik moeten er een beetje aan denken dat als je het zo naar voren kiepen dat er dan water uit komen 
A: 	aan het voorkant hebben het niks 
A: 	ja alleen die staan eigenlijk zo een beetje schuin omhoog 
A: 	ja maar het hebben dus aan de voorkant helemaal niks 
A: 	ok 
A: 	ja 
B: 	ja 
B: 	denken ik 
B: 	ja een plaat en dan daar daar steken ook nog iets uit zeggen maar 
B: 	oké dat zijn dan bij mij dan zijn dat K 
A: 	ja ok en waar het aan twee kant een ding hebben met een rond aan het uitein ok dat zijn negen 
B: 	ik hebben nou weer die een met dan hebben je die twee uitsteeksel zeggen maar met een bolle erop weer 
B: 	en dan de achterkant hebben je weer ja wat jij net noemen een zonnescherm zeggen maar of een zonnepaneel zeggen maar 
B: 	met nog 
B: 	ja 
A: 	ja dit zijn het degeen met dat vlak schuin wat je eigenlijk zeggen maar beetje kunnen klappen en wat aan de zijkant twee 
B: 	oké ja dat zijn bij mij zijn dat F 
A: 	ja dat zijn drie 
A: 	ja dit zijn met dat vierkant schuin wat je eigenlijk een beetje kunnen klappen of zo en 
A: 	zijn toch met de ook met waar die op staan toch 
A: 	ja dat zijn vijf 
B: 	nou hebben we weer die een met die zeggen maar dat die zonnepaneel en dan die twee uitsteeksel met die bollet aan de aan de uiteinde 
B: 	weer met dat zonnescherm zeggen maar en dan die twee uitstekend arm met die bollet 
