B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja die iets spitser toekent alleen geen punt hebben 
B: 	ja 
B: 	I 
A: 	ok dit zijn eigenlijk dan ook weer zo'n kegel met een wat zijn het weer een prisma bovenop 
A: 	en ja aan de zijkant hebben hij twee uitstekel naar rechts toe en als je dan naar voorkant gaan kijken hebben hij ook een uitstekel naar richting de zijkant 
A: 	en onderin hebben hij dan 
A: 	ja onderop zeggen maar liggen nog 
A: 	hebben hij twee staf naar 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	twee pinn 
A: 	ja 
A: 	ja 
A: 	dat zijn dan nummero twee 
B: 	met de deurklink en met twee van die dinget die eruit steken aan de rechterkant met dat spits toelopen punt bovenop 
B: 	dat geen punt hebben 
B: 	een soort omgekeerd badkuip 
B: 	beetje weten je met die 
B: 	ja rechthoeken ik vinden het wel rechthoek 
B: 	oké 
B: 	zullen we die de deurklink noemen 
B: 	oké top 
B: 	ja 
A: 	ja dit zijn weer die ja die half afgezaagd kegel bovenop dat het veel een beetje naar een prisma achtig gebeuren zijn en dan twee vlakke 
A: 	zijde aan de rechterkant en dan hebben je er onderin nog zo'n soort 
A: 	zijkant ja en dan er dan onderin nog één en één dan nog één aan de zijkant dan ja ja 
B: 	de deurklink 
A: 	aan de zijkant helemaal ja 
A: 	ja 
A: 	dat zijn dan nummertje negen 
B: 	ja 
A: 	ja dit zijn dan die afgezaagd kegel van bovenop met aan de zijkant twee plateaut en onderin hebben je nog een staart achtig iets en dan in midden ja 
B: 	de deurklink 
A: 	aan de zijkant en dan onderin ja 
A: 	ok dat zijn dan nummertje zes 
