A: 	ja 
A: 	iets met met die tafelpot eraan 
A: 	dat bijzettafelt 
A: 	dat zijn zestien 
B: 	oké ik hebben dit zeggen als een tafel met een schaaltje erop 
B: 	een galg ja dat hebben ik wel benoemen 
B: 	met die pot en dan dat vierkant vlak iets aan de bovenkant en dan ja een soort van schaaltje 
B: 	ja 
B: 	ja 
A: 	dit zijn dat kop met het tafel erdoorheen 
A: 	met die po eraan 
A: 	ja 
B: 	ja 
B: 	P 
A: 	met die po er echt aan 
A: 	ja 
A: 	dat zijn veertien 
B: 	dit zijn de tafel met het schaalt erbovenop 
A: 	dit zijn die een met die bijzettafel er recht doorheen met die po eraan 
A: 	ja dat zijn tien 
A: 	die bijzettafel die er helemaal doorheen gaan met die twee poet eraan 
B: 	oké 
B: 	ja N 
B: 	ja 
B: 	dit zijn de tafel met de het schaalt erbovenop 
B: 	ja dat zijn D 
