A: 	ja en die hebben een soort slurf en aan de linkerkant hebben hij een soort eigenlijk armp 
B: 	ja 
B: 	ik hebben 
B: 	ik ja nu nu moeten ik 
A: 	en die zitten door zo'n vierkant plat vierkant heen 
B: 	ja 
B: 	ja ik zien twee klein echt minikegelt 
A: 	oké 
A: 	dat zijn nummer vier bij mij 
B: 	en beetje onderaan hebben ik hebben je zo'n zo'n soort vierkant eromheen 
B: 	en aan de voorkant een één wat groot ja soort groot wat groot kegel 
B: 	die verbinden dus de het ja het oppervlak met met dat vierkant ding eromheen 
B: 	zien je dan wat ik bedoelen 
B: 	en aan de 
B: 	wat zeggen je 
B: 	ja aan de onderkant bijna aan de onderkant hebben je zo'n vierkant ding eromheen 
B: 	en bovenop dat ding staan twee van die kegel 
B: 	okee 
B: 	mooi 
B: 	mooi 
A: 	nu hebben je twee heel klein uitsteeksel precies bovenop het kop 
A: 	en eigenlijk links daarvan hebben hij een soort armpje 
A: 	ja precies 
B: 	ja 
B: 	ah ja ja ik hebben hem ik zijn ernaar op zoeken ik weten welk je bedoelen maar het zijn 
B: 	okee g 
A: 	ja 
A: 	ja met dat tafel bedoelen je ? of niet 
A: 	ja nummer vijfteen 
A: 	deze hebben aan de bovenkant twee heel klein uitstulpel , precies in het midden , en die gaan ook ergens doorheen , door een vierkant 
B: 	deze zijn met dat vierkant erdoorheen 
B: 	en die klein blok op de bovenkant 
B: 	ah ja ja dat zijn b 
A: 	oké en hebben hij dan ook soort waardoor of door vierkant heen 
A: 	oké nummer vijfteen 
A: 	aan de bovenkant twee heel klein uitstulpsel in het midden 
B: 	ja dit zijn dat ding waar die vierkant doorheen gaan 
B: 	en bovenop hebben hebben je twee van die echt minikegelt 
B: 	ja 
B: 	even hoe kunnen dat nou hoe 
B: 	ja ja ja p 
