A: 	ja deze hebben ik als een soort van het zijn een heel dom omschrijving maar ik hebben een soort trechter het hebben zeggen maar aan de linkerkant r 
A: 	helemaal links in het hoek van het plaat hebben het een vierkant ding wat dan small worden dat lopen weer over 
A: 	op een gek figuur wat aansluit op dat kop zeggen maar 
A: 	maar aan de rechterkant van het kop hebben je ook nog iets daar zitten een rond cirkel 
A: 	ja een rond plaat 
A: 	ja precies 
A: 	en de linkerkant ja beetje wazig 
B: 	ja 
B: 	ja een soort cilindertje 
B: 	ja yes ja 
B: 	zo'n naar binnen of naar binnen gevouwen 
B: 	dan zijn het 
B: 	ja 
B: 	L 
A: 	ah ja oké dat worden dus de Taarthouder vanaf nu 
A: 	even kijken waar ah daar 
A: 	zeven 
B: 	dit zijn die met aan de linkerkant dat soort omgevouwen met de Eiffeltoren er zo omgekeerd in zetten 
B: 	en aan de rechterkant een soort van plateautje 
B: 	een rond plateaut 
B: 	en aan de linkerkant een soort van Cvorm omgevouwen 
B: 	ja 
B: 	ja 
A: 	de taart 
A: 	ja de Taarthouder 
B: 	ja ja met het omgevouwen stuk 
B: 	dat zijn C 
A: 	de Taarthouder die ja dat zijn één 
B: 	dit zijn de Eiffeltoren 
A: 	de Taarthouder 
A: 	bij mij 
B: 	dat zijn A 
A: 	de Taarthouder even kijken 
A: 	ja dertien 
B: 	dit zijn Eiffeltoren in de omgevouwen C 
