B: 	ja 
B: 	J 
A: 	nou bovenop eigenlijk een heel ja een punt eigenlijk 
A: 	uitsteeksel 
A: 	ja soort van 
A: 	ja 
B: 	deze hebben de pyramide bovenop 
A: 	ja één 
A: 	ja 
A: 	nou niet echt een pyramide maar veel een ja potloodpunt 
A: 	ja 
B: 	ja b 
A: 	de heel puntig ? met 
A: 	ja 
B: 	dit zijn die met die pyramide boven bovenop 
A: 	ja 
A: 	achten 
B: 	à 
B: 	dit zijn degeen met de pyramide bovenop 
A: 	dit zijn die met de punt aan de bovenkant de de pyramide zeggen maar 
A: 	ja 
A: 	ja met het toren aan de zijkant een 
A: 	dit zijn die met de pyramide bovenop de punt en dan aan de linkerkant het 
A: 	ja 
A: 	ja 
A: 	en de potloodpunt eruit 
A: 	ja 
A: 	een 
