A: 	o 
A: 	wow dat zijn echt een goed omschrijving ik weten echt in die weten ik echt niet wat ik moeten zien maar nu je het zeggen zien ik het meteen ja bij mij zijn dat zestien 
A: 	o ja ja 
A: 	dit zijn die een die jij omschreef met dat dinget waar dan de pan in zitten 
A: 	bij mij veertien 
B: 	ik noemen het de serveerster of de serveerder 
B: 	het zijn zeggen maar hij hebben een het lijken met twee poo en een bak zeggen maar of een plank 
B: 	en daarbovenop staan een bak 
B: 	hij hebben een heel klein op zijn achterhoofd een heel klein pluk 
B: 	voor mijn gevoel je hebben het kop 
B: 	en dan rechts van het ongeveer bij zijn hoofd zitten een soort van bak zo zien ik het dan 
B: 	nee niet op zijn achterhoofd dit zijn zeggen maar aan de rechterkant van hem dus waar zeggen maar het kop aan de rechterkant ophouden daaraan vast zitten een bak 
B: 	en daaronder zien ik een ja een plateau zeggen maar het lijken op een ja het zijn een beetje een extreem plateau met twee staaf aan de onderkant 
B: 	op de bovenkant aan de achterkant inderdaad 
B: 	dus lijken net alsof er een bak op een plateau staan met twee van die 
B: 	oké 
A: 	ja zijn veertien bij mij 
A: 	ik moeten klikken ja 
B: 	ja het zijn met twee van die uitstulpsel aan de 
B: 	met zo'n klein dinge aan de achterkant 
B: 	ja 
B: 	dat zijn mijn serveerster inderdaad 
B: 	dan gaan het om P 
A: 	dit zijn die pan met die er doorheen zijn 
A: 	ja bij mij achten 
A: 	o ja ja 
B: 	mijn serveerster 
B: 	met het bak zeggen maar ja met die twee uitstulpsel daaronder 
B: 	met zo'n heel klein 
A: 	o o 
A: 	plank met de pan even kijken waar die staan o ja tien bij mij 
B: 	dat zijn letter N tweepoot N 
A: 	dit zijn die pan die er doorheen zijn 
A: 	ja zestien bij mij 
B: 	dit zijn mijn serveerster 
B: 	ja dat gaan om D 
