A: 	ja en er zitten nog een spijker bovenop 
A: 	ja 
A: 	okee dat zijn nummer dertien 
B: 	okeeen deze zijn wel grappig 
B: 	bij deze hebben aan de linkerkant hebben hij ja het lijken een beetje twee oog van legoblokjes 
B: 	ja een spijker als Antenne en dan rechts aan de voorkant nog een een plaat 
B: 	ja joh ja 
A: 	deze hebben twee van die sterrenkijker aan de linkerkant en een plat vierkant op de voorkant en nog een spijker daar bovenin 
A: 	yes ja dat zijn nummer twee 
A: 	dit zijn die met die plat vierkant voorop en een spijker bovenop en twee sterrenkijker link 
B: 	aha ja 
B: 	ja ja ja 
B: 	dat zijn omdraaien natuurlijk ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	nou dan gaan ik voor m 
A: 	yes nummer drie 
B: 	dit zijn degeen met de legoblokjesog en een spijker aan de bovenkant en één ja zo'n zo'n ja 
A: 	dit zijn met die twee sterrenkijker links en die spijker erbovenop 
B: 	de springstok ja ja 
B: 	en een spijker Antennetje 
B: 	dat zijn d 
B: 	oog aan de linkerkant een spijker bovenin en een een scherm aan de rechterkant 
B: 	jeej dat zijn h 
