A: 	met zo'n vlak vierkant op zijn gezicht 
A: 	of het 
A: 	ja ja ja ja 
A: 	ja dat zijn twee 
B: 	oké 
B: 	zijn een beetje robotachtig hij hebben van die aan de linkerkant zitten er weer wat soort van verrekijker wat jij net noemen 
B: 	en aan de voorkant zitten een vierkant plateau 
B: 	en bovenop 
B: 	ja 
B: 	ja 
A: 	dit zijn die robot weer 
A: 	ja negen 
B: 	G 
A: 	de robot 
B: 	dit zijn de robotachtig twee verrekijker link voorkant de plaat vierkan en bovenop die paddenstoel 
B: 	ja 
A: 	nummer één 
B: 	D 
A: 	de robot 
B: 	dit zijn de twee verrekijker links met paddenstoel bovenop 
B: 	ja B 
