A: 	ok het zijn gewoon een mok daar zijn niks aan veranderen alleen liggen er dan pilaar naast 
B: 	ja sommig lijk te veel op elkaar 
A: 	en een iets wat lijken op misschien een zonnepaneel of zo 
B: 	oké 
A: 	snapen 
A: 	zo'n grieks achtig pilaar zullen je het kunnen noemen 
B: 	ja 
B: 	ja 
A: 	ok ok ok 
A: 	jajajajajaja jajaja 
B: 	ja 
A: 	jajajaja 
B: 	ja 
B: 	oké ja 
B: 	ja ik vinden dat een beetje dat die staaf lijken een beetje alsof die er doorheen gaan inderdaad de een kant zijn een beetje kort en de ander kant zijn lang 
A: 	ja precies 
A: 	jaja 
B: 	ja oké dan zijn dat bij mij K 
A: 	ja ja jajaja ja weten ik al ja negen 
B: 	oké dit zijn met die die balk erdoorheen met die bollet aan het eind 
B: 	waarbij die aan de een kant zo'n klein stuk arm hebben en aan de ander kant een lang stuk en dan dat zonnescherm aan de achterkant 
A: 	ok dit zijn die een met die zout en peper slash pilaar 
A: 	weten je wel 
B: 	ja die twee die staaf zeggen maar 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	ja 
A: 	even zoeken drie 
B: 	oké ik hebben weer die met dat zonnepaneel en die staaf die er zo doorheen zitten 
B: 	ze zijn weer veranderen 
A: 	met die peper en zout slash lang ronde balk grieks achtig balk 
A: 	ja 
B: 	oké 
B: 	even kijken waar die zijn 
B: 	daar 
B: 	L 
B: 	ja niet die maar zeggen maar die 
B: 	ja 
B: 	dat zijn L 
A: 	even kijken 
A: 	o ik zien hem al wachten even hoor grieks pilaar 
A: 	Jajajaja weten ik ik zijn gewoon blind o ik zien hem al o ik zijn echt overal aan het kijken behalve daar vijf 
B: 	oké 
B: 	Jezus 
B: 	dit zijn die met die met die één kort arm één lang arm en die bollet en dan het zonnepaneel aan de achterkant 
B: 	moeten we weer even leren waar al die plaat staan 
