B: 	oké nu hebben ik hem 
B: 	het zijn een soort van ja ook dat komme en ik ik zien het zeggen maar veel als een slurf 
B: 	en dan een vierkant eromheen 
B: 	dus het zijn een komme 
B: 	en daar zitten dan een soort van slurf aan en daar zitten dan zo'n vierkant zitten dan helemaal eromheen 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	die hebben ik 
A: 	ja 
A: 	en nog één aan de zijkant 
A: 	een stuk met met een 
A: 	ja ja precies ja ja 
A: 	oké ja dat zijn zes 
A: 	ik hebben nu één met dat vierkant plateau weer door het kop heen 
A: 	en twee 
A: 	ja ja 
B: 	ja 
B: 	dat zijn C 
A: 	ja 
A: 	ja 
A: 	even kijken waar die zijn ja zijn dertien 
B: 	dit zijn die die slurf die zeggen maar de grond Doorboort 
B: 	met die twee pun bovenop aan de zijkant een armpje 
B: 	even ja 
B: 	dat zijn J 
A: 	oké ik hebben dat plateau dat vierkant plateau wat weer door dat kop heen steken 
A: 	met twee van die 
A: 	ja 
B: 	dit zijn met die slurf die de grond Doorboort 
B: 	dat zijn N 
A: 	ja 
A: 	oké nee 
A: 	ja oké dat zijn nummer negen 
A: 	ik hebben het gevoel dat ik de heel tijd nummer negen hebben 
A: 	ik hebben die met dat vierkant plateau door het kop heen 
