B: 	ja ik denken dat ik hem hebben en aan de linkerkant zitten een punt erin 
B: 	ja 
B: 	oké 
B: 	letter J 
A: 	deze hebben een driehoek bovenop een beetje naar de achterkant 
A: 	helemaal voorop hebben die ja wat zijn het ? soort trapezium maar niet helemaal recht 
A: 	en aan de onderkant zitten een cirkel ja die 
A: 	ook nog iets ja 
B: 	het zijn een bak 
B: 	hij krijgen een kogel 
B: 	en hij hebben een punt op zijn hoofd een best wel scherp soort van piramide 
B: 	en het bak lijken hol 
B: 	link krijgen die dus een kogel echt een pijl 
B: 	een best wel intens 
A: 	ja checkgen dat zijn zes voor mij 
B: 	ja 
B: 	letter E 
A: 	dit zijn die met de driehoek een beetje boven aan de achterkant en de telescoop links 
B: 	hij worden raken door een kogel en er komen een piramide uit zijn hoofd 
A: 	yes dat zijn tien voor mij 
A: 	dit zijn die met de driehoek bovenop en de telescoop links 
B: 	de kogel 
B: 	ik moeten hem even zoeken G met de driehoek erbovenop 
B: 	letter G 
A: 	die zijn ja dat zijn nummer tien voor mij 
B: 	hij krijgen een kogel en hij hebben een hoed op dat op een piramide lijken 
