A: 	wat zitten daarbovenop 
A: 	een balk ja 
B: 	deze vinden ik het het kut 
B: 	even kijken 
B: 	er liggen zeggen maar een balk op 
B: 	een langwerpig balk 
B: 	bovenop 
B: 	en 
A: 	even 
B: 	ja ja omdraaien zeggen maar op zijn op de kop 
A: 	even kijken horen 
B: 	ja 
B: 	ja ik weten niet wat het 
A: 	een rad als een 
B: 	ja dat lijken een beetje op een schepje 
A: 	zitten er twee pun boven 
B: 	ja 
A: 	dus dat zijn dat zijn helemaal recht een recht balk 
A: 	en steken die balk uit 
A: 	even kijken 
A: 	ja inderdaad dat zijn een kop en een klein balk een boek 
A: 	ja ik zien hem 
A: 	achten 
A: 	dit zijn die klein boekentas 
A: 	dus niet die groot met die handvat maar die klein 
B: 	ja 
B: 	E 
A: 	klein boekentas waar staan je ? de groot zien ik wel 
A: 	ja 
A: 	één 
B: 	weer die balk en dan die die scoop hoe heten dat die die beker op de kop en die schep 
A: 	klein boekentas 
B: 	ja die 
B: 	waar staan die 
B: 	ja nou vinden ik hem heel makkelijk 
B: 	ah hier 
B: 	E 
B: 	weer die beker op de kop en die die schep erbij 
A: 	ja 
A: 	zestien 
B: 	ja 
B: 	O 
A: 	de klein rugtas 
A: 	pijnlijk been 
