B: 	gaan wel goed 
B: 	ja oké 
B: 	het zijn hij hebben een vierkan aan de voorkant gewoon een plat vierkan 
B: 	en twee van die gebouw aan de of ja die legoding aan de zijkant 
B: 	ja precies 
A: 	met zo'n toeter eruit 
A: 	of niet 
A: 	met een met één met een champignon op zijn dak 
A: 	ja 
A: 	nummer twee 
B: 	ja ja 
B: 	ja 
B: 	dat zijn G bij mij 
A: 	dit zijn die een met de verrekijker en de champignon op zijn dak 
A: 	met de plat voorkant 
B: 	weer die twee legoblokjes 
B: 	aan de zijkant met dat vierkant plat 
B: 	yes 
B: 	yes 
A: 	ja dat zijn negen 
B: 	het vierkan ja 
B: 	dat zijn d bij mij 
A: 	dit zijn de verrekijker met de champignon op zijn dak 
B: 	het zijn weer die twee legoblokjes 
B: 	met dat vierkant aan de voorkant 
B: 	en die antenne 
B: 	twee legoblokjes yes 
B: 	en dat vierkan 
B: 	oké 
A: 	dat zijn één 
B: 	yes 
B: 	B bij mij 
A: 	de verrekijker met de champignon op zijn dak 
