B: 	die mij zien er soort van uit als een wijnglas 
B: 	met erop of erin 
B: 	gespiraald stang eronder 
B: 	het zijn een driehoek met een spiraal en dan daarboven de emmer 
A: 	en hij hebben een vierkan boven nog een vierkan en nog iets uitsteken 
A: 	ja dat zijn nummer twee 
B: 	d 
A: 	deze lijken op een wijnglas waar je het eerder over hebben 
B: 	dit zijn het wijnglas 
A: 	twaalf 
B: 	à 
B: 	dit zijn het wijnglas 
A: 	dit zijn het wijnglas 
B: 	g 
A: 	waar zitten jij 
A: 	nummer twee 
A: 	een wijnglas 
