B: 	onderaan zitten een draaien staafje met daaronder een driehoekig platform 
A: 	oké nou die 
A: 	ja met die 
A: 	ja sure 
A: 	dat zijn veertien 
B: 	het raar voetstuk op die driehoek 
B: 	een driehoek ja ja ja ja sorry k 
A: 	oké ja dit zijn weer die wel de gedraaide met die driehoek zegmaar daaronder 
A: 	ja 
B: 	ik hebben dat getwiste draaideen dinge aan de onderkant met 
B: 	wat zeggen je 
B: 	ja op de driehoek ja kloppen 
B: 	ja I 
A: 	ja 
A: 	oké ja twee 
B: 	ik hebben de dat dat twi getwisten ding op een driehoekje 
B: 	ja 
B: 	I 
A: 	ja dit zijn weer die gedraaide met de driehoek 
A: 	ja 
A: 	een 
A: 	oké dat zijn een ja dit zijn met die draaien poot weer 
A: 	met die driehoek 
