A: 	de adapter weer 
A: 	de ouderwets adapter die ik net omschreef 
A: 	oké dat zijn dan negen 
B: 	deze hebben één hebben een vierkant plaat zeggen maar aan de voorkant 
B: 	en een op zijn hoofd lijken het een schroef 
B: 	twee Empire State Buildings 
B: 	ja 
B: 	ja dat ook 
A: 	het zijn net alsof er twee wolkenkrabber in het kop zijn geboord 
A: 	en met zo'n Antenne daarboven en dan zo'n plaat zeggen maar 
B: 	even kijken een vierkant 
B: 	die en dan zitten hierboven zo'n ding en aan de zijkant ook 
B: 	ja 
B: 	F 
A: 	ja 
A: 	ja en die antennetje of wat het ook zijn omhoog 
A: 	negen 
B: 	dit zijn die met die met zo'n vierkant plaat 
B: 	boven weer een schroef en dan die die die uitpuilen blokkending 
A: 	dit zijn de de twee wolkenkrabber die erin zitten 
B: 	ja 
B: 	ja 
B: 	ja ik zien het ja 
B: 	D 
A: 	ja 
A: 	even kijken waar die zijn blijven 
A: 	met die antenne boven zijn het 
A: 	ja 
A: 	één 
B: 	die met die vierkant plaat en weer die die blok zeggen maar als oog 
B: 	ja 
B: 	ja 
B: 	B 
A: 	niet hetzelfde 
A: 	de twee wolkenkrabber die erin zijn geboord 
A: 	ja 
