A: 	dit zijn een mok met zo'n schuin vierkant linksbof en dan rechts en links uitsteeksel met een rond uitein 
A: 	ja 
A: 	ja 
A: 	rechts zijn rechts zijn iets lang 
B: 	ja 
B: 	een achter ja dat zijn nummer b bij mij 
A: 	twee 
A: 	uitsteeksel links en rechts identiek rechts lang 
B: 	deze zijn die een met arm die recht zijn en dan een bolle aan de buitenkant 
B: 	en een dinge die erachter steken nog 
B: 	ja 
A: 	vier 
A: 	link rechts rechts lang 
A: 	handvaet 
B: 	dat ding achter 
B: 	dat zijn p 
A: 	dertien 
B: 	dit zijn die met de arm met bollet eraan 
B: 	en achter een ding nog 
B: 	twee arm met een bol eraan en dan 
B: 	ja 
B: 	ja 
B: 	dat zijn l 
B: 	dit zijn de twee arm met bollet eraan 
B: 	en een ding naar achteren 
B: 	ja 
