A: 	ja 
A: 	en nog een staafje aan de 
A: 	ja 
A: 	zestien 
B: 	hier staan bovenop twee figuur 
B: 	links bovenop soort van een kegel en rechts daarvan zijn een een vierkant of een rechthoekig staaf 
B: 	rechtsvoor het kop zitten een soort van ovaal bol ding 
B: 	en links daarvan een driehoeksstaaf 
B: 	ja 
B: 	ja 
A: 	met twee één zo'n twee dinget uit de bovenkant één zijn de rechter zijn vierkant en de ander zijn met een soort van sierlijk lepeltje en met de neus 
A: 	ja 
B: 	ja dat zijn bij mij m m ja m 
A: 	ja 
A: 	en een neus 
A: 	ja 
A: 	twaalf 
B: 	deze hebben bovenop een kegelvorm en een staafje en rechtsvoor een 
B: 	ja 
B: 	ja 
B: 	ja dat zijn j 
A: 	boven it Bovenin inzitten twee staaf een gewoon en de ander zo'n sierlijk 
A: 	met die neus voorop 
B: 	dit zijn rechtsvoor een bal en een kegel en een rechthoekig staaf bovenop 
A: 	ja 
A: 	een 
B: 	ja dat zijn e 
A: 	die neus met dat sierlijk lepeltje en het normaal lepeltje 
