B: 	ok jij moeten hem dus raden 
B: 	ja er zitten een soort van het zijn een soort van kop en daar zitten een lepeltje in en een steel eraan en aan de bovenkant zitten een 
A: 	jij hebben het vierkant geloven ik 
B: 	half rond aan de onderkant zijn hij wat spitser ik vinden het een beetje een koffiekopje 
A: 	nee jij moeten dan gaan mij gaan vertellen welk het 
A: 	maken niet uit 
A: 	zeggen het maar 
B: 	ja aan de linkerkant zitten een steel 
A: 	cilinder aan de linkerkant 
B: 	ja 
B: 	nee ja er zijn zeggen maar één soort van lepeltje denken ik en er zijn een half rond aan de achterkant 
A: 	en een soort sprie eruit 
A: 	ja 
A: 	ik hebben die zelf omschrijven als een soort glas met een schijf citroen erop 
A: 	omdat het een beetje zo lijken kunnen ik hem daarmee vergelijken 
A: 	ja 
A: 	nou dan dan hebben ik hem 
A: 	dan zijn het dertien 
B: 	ja 
B: 	ok dat zijn O 
A: 	oké dit zijn wat ik die met het citroenschijf noemen zeggen maar dus een soort met zo'n soort cilinder die er nog uit steken en een soort ja bijna een soort staafje er nog bovenin 
B: 	ja dit zijn dat kop met de lepeltje die er in hangen half rond aan de achterkant 
A: 	maken niet uit 
A: 	ja ik hebben hem 
A: 	dat zijn acht 
B: 	ja dat zijn C 
B: 	ja dit zijn met dat kop met dat half rond aan de achterkant 
B: 	dat zijn C 
A: 	dit zijn de citroenschijf zeggen maar 
A: 	met het stok erin 
A: 	ja precies 
A: 	ja precies dat zijn zeven 
A: 	dit zijn de citroenschijf en het staafje wat er nog in zitten 
A: 	ah 
A: 	top 
A: 	Hallo 
