A: 	ja 
A: 	dat zijn nummer een 
B: 	deze hebben een vierkant beetje aan de voorkant beetje naar rechts toe 
B: 	en link twee van die staf met vierkant die steeds groot worden 
B: 	en ja 
B: 	ja 
B: 	soort paddenstoel ja 
A: 	de bak met aan de voorkant een vierkant aan de linkerkant zijn die twee torent en bovenop zijn een een soort van spijker die zijn erop timmeren 
A: 	ja 
A: 	zeven zijn dat 
B: 	en twee link 
B: 	ja dat zijn O 
B: 	deze hebben een vierkant rechtsvoor en een soort paddestoel er bovenop 
B: 	ja 
A: 	bak met aan de voorkant de plaat , het vierkant aan de linkerkant , de twee uitsteeksel , oort 
A: 	en met de spijker bovenop 
B: 	links ja 
B: 	G 
A: 	ja zeven 
B: 	deze hebben een vierkant aan de voorkant en een paddenstoel er bovenop 
B: 	en 
B: 	ja 
A: 	de bak met aan de voorkant de pilaar en aan de linkerkant de twee uitstulping met de spijker er bovenin 
B: 	ja 
B: 	K 
