B: 	en zo'n bijzettafel aan de rechterkant 
B: 	L 
A: 	dit zijn diegene die hebben dat zijn gewoon dat dan hebben die aan de een zijkant komen een soort niervormig uitstulpsel uit en de ander kant hebben die een soort van plateautje waarop ik een plan zullen zetten 
A: 	maar en dan bij dat uitstulpsel komen een soort aliending naartoe 
A: 	wel 
B: 	dit zijn weer dat bijzettafelt met een soort van spijker in zo'n steken in zo'n uitstekend ding 
B: 	nee lijken dat rond rond tafel zeggen maar 
B: 	en dan hebben je zo'n ander ding er link uit steken met zo'n spijker erin 
A: 	ja 
A: 	mijn cactus 
A: 	dat zijn bij deze waar staan die 
A: 	nummer zeven 
A: 	mijn plantenbak 
A: 	die 
B: 	ja 
B: 	C 
A: 	ja dat zijn nummer één 
B: 	dit zijn die met de spijker links en het bij rond bijzettafel rechts 
A: 	die met dat plantenplateau 
B: 	ja 
B: 	A 
A: 	nummer dertien 
B: 	de de spijker die links uit komen en dan het Ronde klein bijzettafel 
