A: 	ok hij hebben twee dezelfde soort uitsteeksel ja het zijn een beetje ovaalachtig maar wel redelijk smal zitten er één aan de bovenkant en één aan de zijkant 
A: 	en hij hebben ernaast nog vierkant die steeds iets groot worden dus ze lopen eigenlijk een beetje 
A: 	uit dus het beginnen heel klein vierkantje en dan worden ze steeds iets groot en dat steken eigenlijk schuin naar voren 
A: 	en dan hebben je aan de ander kant zitten dan ja eigenlijk zo'n beetje zo'n buisje of zo en aan de achterkant steken ook nog iets uit 
A: 	nou je hebben in ieder geval ok ik gaan even op de vierkant in die zitten ongeveer op twee drie van het kop aan de bovenkant 
B: 	ja 
B: 	boven 
B: 	en dan 
A: 	en of aan de zijkant 
B: 	ja oké 
B: 	dat zijn bij mij dan E 
A: 	ja en dan eigenlijk een heel groot lepel erin 
A: 	en aan de zijkant allemaal vierkant die groot worden 
A: 	ok 
A: 	ja ik moeten heel even kijken 
A: 	waar zijn hij 
A: 	het vierkan worden steeds klein 
A: 	kijken ik nou zo scheel 
A: 	wachten zat die vierkant zitten zitten die richting de voorkant 
A: 	eigenlijk schuin naar één 
A: 	ja en dan worden ze klein 
A: 	en aan de er zitten nog twee ander ding aan het kop 
A: 	ja 
A: 	ok dat zijn elf 
B: 	ja ik hebben nou weer één dan waarbij dan aan de of aan de rechterkant hebben je dan 
B: 	die vierkant die dan telkens groot worden 
B: 	en dan hebben je bovenin en aan de linkerkant dan zo'n pin uitsteken die er hetzelfde uitzien en dan 
B: 	aan de achterkant hebben je nog een 
B: 	een 
B: 	nee nee die niet 
B: 	je hebben dan 
B: 	ja 
B: 	ja die 
A: 	dit zijn weer met dat lepel erin aan de voorkant zitten weer zo'n vierkant wat steeds klein worden 
A: 	aan de ander kant en dan zitten er eigenlijk nog aan de achterkant zitten nog een uitsteeksel en aan de zijkant zitten nog eenzelfde uitsteeksel wat ook in het kop zitten 
A: 	ja 
A: 	God 
A: 	ja ik weten 
A: 	nee want het zijn bij zelfde soort vierkant als bij de spijker 
A: 	met die we net hebben 
A: 	hij staan er gewoon echt naast negen 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	ja dit zijn volgens mij zijn dit de theekop die zo met die vierkant die uitliepen en één lepel erin en 
B: 	nou hebben we weer die een met aan de linkerkant dan van die blok die dan telkens groot worden 
B: 	en dan bovenin en 
B: 	vierkant die worden steeds 
B: 	die 
B: 	die aan de aan de rechterkant en dan bovenin en dan de 
B: 	ja oké die 
B: 	ja bij mij zijn dat B 
B: 	dan hebben ik weer die een met aan de linkerkant dan ook die kubus die dan steeds groot worden en dan aan de bovenkant zo'n pin 
B: 	en aan de zijkant zo'n pin en dan aan de achterkant nog een raar een raar flu 
B: 	nee 
B: 	aan de aan de linkerkant hebben je dan ook 
B: 	ja bij mij staan 
B: 	ja 
B: 	ja die 
