B: 	oké ik hebben het vierkant dus jij moeten dan drukken 
B: 	even kijken 
B: 	ja denken het wel 
B: 	kijken bij mij zitten er zeggen maar als het een gezicht zullen zijn zullen hier zo'n zo'n steel zitten 
B: 	en en een lang neus 
A: 	hebben die twee van die recht USBstickjes naar rechts 
B: 	ja ja ja zoiets 
B: 	even kijken 
B: 	nee het zijn geen oort 
B: 	er zitten nog wel een ander vorm aan 
A: 	ja ja ja ja 
B: 	maar als ik die opnoemen dan hebben ik zeggen maar alles al beschrijven 
A: 	ja ik hebben hem ja 
A: 	welk zijn dat bij jou 
B: 	ja 
B: 	kunnen je nog 
A: 	G dertien 
B: 	ja kunnen je nog iets beschrijven zodat ik zeker weten dat je hem hebben 
B: 	Legoblok wat voor Legoblok 
B: 	ja 
B: 	ik denken ik denken niet dat we dezelfde hebben 
B: 	even kijken 
B: 	want we hebben we we hebben allebei dezelfde plaat precies dezelfde plaat 
B: 	ja het zijn het zijn zeggen maar 
B: 	ja of of een een waterdruppel zeggen maar 
B: 	ja echt bovenop 
B: 	nee nee maar één 
B: 	maar één ja 
B: 	ja 
B: 	ja ja ja ja dan hebben we dezelfde 
B: 	dan moeten jij drukken 
B: 	denken ik 
B: 	ja 
B: 	oké bij mij zijn het G 
B: 	drukken en en dertien zeggen geloven ik 
A: 	ik noemen deze filmcamera jij noemen deze Pinokkio 
A: 	yes 
A: 	vier 
B: 	en die die neus 
B: 	ja 
B: 	O 
A: 	weer een nieuw 
A: 	ja ja ja 
A: 	N achten 
B: 	ja hebben jij nu ook de veel plaat aan één kant 
B: 	ja 
B: 	bij mij zijn het die met die soort cirkel en dan ook weer zo'n waterdruppel 
B: 	bovenop 
B: 	en dan weer zo'n lang neus 
B: 	een soort boomstam 
B: 	nee geen blok 
B: 	nee geen hand 
B: 	je hebben zeggen maar boven op op aan de bovenkant hebben je één zo'n waterdruppel 
B: 	en aan de rechterkant en aan de linkerkant zitten zo'n half cirkel 
B: 	ja 
A: 	pinokkio 
A: 	pinokkio 
A: 	rond achter in het hoofd één sprie op het hoofd 
A: 	veertien 
A: 	zeshoek zes zes zes zes zes 
A: 	ja ja ja 
A: 	Nico 
A: 	N zeven 
B: 	even zoeken 
B: 	waar staan die 
B: 	ah hier 
B: 	C 
B: 	die met die druppel en die nek en die half cirkel Bovenin 
A: 	jou pinokkio 
A: 	zeven 
A: 	wauw 
A: 	dat gaan soms echt gewoon verrassen goed en soms echt gewoon hartstikke slecht 
B: 	C 
B: 	nou dit zijn het 
B: 	ja ik denken het ook alleen die 
