B: 	die van mij soort van een vierkant midden door de emmer 
B: 	en daarboven zijn soort van klein pijpje 
B: 	en helemaal bovenop zijn twee stok die daaruit komen 
A: 	aan welk kant uitsteken 
A: 	ja 
A: 	okee en de het vierkant zat zitten er gewoon dwars doorheen 
A: 	ja 
A: 	ja 
A: 	ja ja ja 
A: 	dat zijn acht 
B: 	en hij roken een pijpje 
B: 	ja l 
B: 	deze ja dat zijn die een die het pijpje roken en waar dat vierkant er door die emmer heen zijn halverwege 
B: 	en twee staaf bovenaan uitkomen 
B: 	ja 
B: 	ja 
B: 	n 
A: 	dit zijn kopjesvorm met ja die vierkant plaat erdoorheen 
A: 	aan de bovenkant twee klein torent en aan de linkerkant de l-vorm die eruit komen 
A: 	ja 
A: 	yes 
A: 	pun erboven 
A: 	ja drie 
B: 	deze hebben dat vierkant dat er dwars doormidd gaan en een pijpje aan de linkerkant 
B: 	twee staaf bovenop 
B: 	b 
A: 	die met het vierkant erdoorheen en de twee torent bovenop 
A: 	vorm aan de linkerkant 
A: 	yes 
A: 	ja zeven 
A: 	dit zijn die met het vierkant erdoorheen en aan de linkerkant die l-vorm en bovenop de twee klein balk 
