B: 	ja 
B: 	letter K 
A: 	deze hebben twee armp aan de zijkant en dan hebben die aan de achterkant een vlak dat schuin omhooggaat 
A: 	en daar komen weer een soort ja watervalletje uit 
B: 	het zijn een bak 
B: 	hij hebben twee uitsteeksel hier die zeshoekig zijn 
B: 	aan het einde zitten een half cirkelt half bollet zitten erop 
B: 	en achter hebben die nog zo'n platformp jij vinden het op een gek gieter lijken 
A: 	ja ik moeten hem even zoeken maar ik weten welk je bedoelen ja 
A: 	dat zijn negen voor mij 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat hebben twee van die ding ja 
B: 	letter F 
A: 	dit zijn die met de twee armp aan de zijkant en dan achteraan dat ding dat omhooggaat 
A: 	met de waterval 
B: 	jij terugvinden het op een gieter lijken 
B: 	met die drie met de zeshoek die eruit komen met zo'n klein bolle eraan 
A: 	waar zijn die 
A: 	ja dat zijn drie voor mij 
A: 	dit zijn die met de waterval aan de achterkant 
A: 	poo 
B: 	ja 
B: 	ja 
B: 	letter L 
A: 	waar zijn die ? ja dat zijn vijf voor mij 
B: 	de gieter 
