A: 	deze hebben vier verschillend vorm aan zich zijn heel misvormd 
A: 	en ja een feesthoed bovenop 
A: 	zo'n een perfect driehoek 
A: 	bovenop 
A: 	dus eigenlijk zijn het heel simpel 
A: 	en een kogel links lijken het op 
B: 	ja ja 
B: 	ja ik zien hem denken ik al 
A: 	ja die hebben ik net 
B: 	ja dat zijn dat zijn letter 
A: 	daar 
B: 	ja dat zijn l 
A: 	ja de vier voorwerp kogel en een hoed 
A: 	links kogel boven hoedje 
A: 	driehoek 
A: 	een 
B: 	deze hebben de puntmuts 
B: 	en links een armpje wat van dun naar dik gaan en 
B: 	ja dat ding je weten wel welk het zijn 
A: 	kogel en hoedje 
A: 	veertien 
B: 	ja dat gek ja 
B: 	dat zijn o 
B: 	dit zijn die met de puntmuts 
B: 	en een klein arm links 
B: 	ja 
B: 	en dan een ding rechts en een 
B: 	ja c 
B: 	puntmuts 
B: 	en klein naar groot arm links 
