B: 	ja en dan ook twee van die uitstulpsel 
B: 	ja dat zijn bij mij nummer D 
A: 	oké 
A: 	er staan nu één of een rood vierkant om 
A: 	ja er zijn een een bol aan de bovenkant 
A: 	boven op het kop 
A: 	en er staan voor het kop iets naar de rechterkant van van ons zien 
A: 	staan een ja een rechthoekig ding zeggen maar 
A: 	en het zijn hij hebben een soort van soort van arm zeggen maar aan de zijkant zitten 
A: 	zullen kunnen 
A: 	ja 
A: 	oké 
B: 	oké ik hebben ja een kop en daar zitten zo'n bolle bovenop en dan zo'n paal ervoor 
B: 	en nog twee van die dinget 
B: 	ja 
A: 	even kijken 
A: 	dat die hebben we al eerder met dat 
A: 	ja oké dat zijn vijftien voor mij 
B: 	ja dat zijn L 
B: 	ja met dat bollet bovenop en die staaf vooraan 
B: 	J 
B: 	ik hebben met dat balle en dat dat die paal voor 
A: 	dit zijn die met de bol erop 
A: 	en dat dat die rechthoek ervoor en die twee armp 
A: 	oké 
A: 	ja oké dat zijn zes 
A: 	oké dit zijn weer het bolle erop de twee armp aan de zijkant en de Blok ervoor 
A: 	ja ja 
A: 	drie zijn dat 
