A: 	deze hebben een een piramide als dakje 
A: 	een een paardenstaar 
A: 	en een rond aan de en een heel groot neus 
A: 	en een rond aan de onderkant 
B: 	ja 
B: 	zitten daar echt zo'n heel random een soort alsof een kogel aan de ? ja 
B: 	dat zijn J 
A: 	met dat die groot neus 
A: 	ja 
A: 	zes 
B: 	deze hebben een piramide op zijn hoofd en aan de linkerkant een kogel die er bijna doorheen gaan 
A: 	zijn die met dat piramide en die groot neus en dat armpje en 
A: 	ja en die groot neus 
A: 	ja 
A: 	tien 
B: 	ja en de kogel die er bijna doorheen gaan 
B: 	E 
B: 	dit zijn met de piramide boven en de kogel aan de linkerkant 
A: 	het met de groot neus en het driehoekje en 
A: 	ja 
A: 	tien 
B: 	piramide op het hoofd en kogel 
B: 	die er bijna doorheen gaan 
