A: 	ja het zijn allemaal bekert maar het zijn een beker met een een handvat en hij hebben een soort van lepeltje hebben die vast in de hand 
A: 	en er steken ook een zo iets erbovenuit 
A: 	zeggen maar hij staan zeggen maar zo en dan een stengel en dan het lijken een beetje op een lepeltje het zijn niet helemaal een lepeltje het kunnen ook een soort van een een teken van een voet zijn 
A: 	en hij hebben zeggen maar één één zo'n streepje erboven zeggen maar zo'n Kuis 
A: 	nee aan de zijkant zijn dat ander 
A: 	ja één zo'n kuifje erboven zo'n heel zo'n klein 
A: 	ja kunnen ook ja ja klopt zitten ik ook aan te kunnen ook ja 
B: 	oké nou hebben jij 
B: 	ja ja ja 
B: 	en zijn aan de ander hebben die aan de bovenkant twee dinget 
B: 	bovenop 
B: 	oké even kijken 
B: 	ja wachten zo'n toeter ja 
B: 	het zijn het zijn zeggen maar zo'n bol met zo'n staaf erdoorheen 
B: 	en dan zo'n cirkel eraan 
B: 	oké 
B: 	F 
A: 	ja die piercing wat jij zeggen 
A: 	vijf 
B: 	nu hebben ik weer die die toeter zeggen maar en dan bovenop 
B: 	ja 
A: 	dit zijn de neuspiercing 
B: 	ja 
B: 	A 
A: 	ja 
A: 	vijf 
B: 	die met die toeter weer en die dat blaad 
A: 	de neuspiercing 
B: 	ja 
B: 	H 
B: 	die toeter en die de appelblaadje 
A: 	ja 
A: 	vijftien 
