A: 	oké ja 
A: 	dat zijn een groot vierkant aan de voorkant zeggen maar 
A: 	oké dat zijn twee 
B: 	deze hebben één hebben een vierkant plaat zeggen maar aan de voorkant 
B: 	en een op zijn hoofd lijken het een schroef 
B: 	twee Empire State Buildings 
B: 	ja 
B: 	ja dat ook 
A: 	deze noemen jij volgens mij een helikopter met een televisiescherm aan de zijkant 
A: 	dat zijn negen 
B: 	even kijken een vierkant 
B: 	die en dan zitten hierboven zo'n ding en aan de zijkant ook 
B: 	ja 
B: 	F 
A: 	dit zijn de helikopter met dat scherm 
B: 	dit zijn die met die met zo'n vierkant plaat 
B: 	boven weer een schroef en dan die die die uitpuilen blokkending 
A: 	dat zijn één 
B: 	ja 
B: 	ja 
B: 	ja ik zien het ja 
B: 	D 
A: 	dit zijn de helikopter 
B: 	die met die vierkant plaat en weer die die blok zeggen maar als oog 
B: 	ja 
B: 	ja 
B: 	B 
