B: 	nou dit lijken wel een beetje zeggen maar een poppe wat zo met de armp omhoog staan op een soort gedraaide draaideen balk 
B: 	het zijn een soort beker 
B: 	ja 
A: 	op zo'n statief 
A: 	ja 
A: 	ja 
A: 	dan zijn het vier 
A: 	deze hebben weer een statiefje 
A: 	een driehoekig statiefje 
A: 	ja 
B: 	Cup Cup 
B: 	ja en 
B: 	met een spiraal 
B: 	ja ja ja 
B: 	dat zijn A 
A: 	ja 
A: 	dat zijn tien 
A: 	zijn dat het statiefje weer 
B: 	dit zijn zeggen maar de winnaarsbeker 
B: 	met dat gedraaide 
A: 	ja waar zijn jij nou ? hier 
A: 	vier 
A: 	de het statief 
B: 	de beker met de draaien 
B: 	dat zijn L 
B: 	dit zijn de beker 
B: 	op die draaien ding 
B: 	dat zijn F 
