B: 	ja die het lijken een beetje op een zuignap 
B: 	ja 
B: 	ja oké 
B: 	F 
A: 	oké nu hebben ik het rood vierkant 
A: 	ik hebben even kijken bovenaan zijn het vrijwel leeg er staan alleen aan de aan de linkerkant staan een soort van 
A: 	klein cirkel bovenop een soort van uitstekel uitsteeksel en aan de rechterkant 
A: 	ja beetje lastig uit te aanleggen maar een cirkel met een soort staaf erdoorheen en daar aan het einde ook weer een rond 
A: 	ja 
A: 	kloppen 
A: 	ja zijn bij mij nummer vijf 
B: 	dit zijn die een met die zuignap 
B: 	door door zijn neus 
B: 	met zo'n 
B: 	ja 
B: 	nee 
A: 	ik hebben die met dat ei en met de staaf erdoorheen 
B: 	ja 
B: 	waar zijn die 
B: 	ah A 
A: 	nummer vijf 
B: 	ja ik denken even dat die er niet zijn 
B: 	de zuignap 
A: 	ik hebben die een met dat ei en met de staaf erdoorheen 
B: 	zuignap 
B: 	H 
A: 	nummer vijftien 
B: 	de zuignap 
