A: 	ik zien hem niet nog niet 
A: 	er op 
A: 	o ja misschien weten ik en dan hebben hij zeggen maar zo een ding en daar zitten weer zoiets op 
A: 	en dan aan de zijkant een soort van vleugelt of zo 
A: 	of oor 
A: 	o ja ik gaan er gewoon vanuit in mijn imagination dat hij aan de ander kant ook wat hebben 
A: 	ja ik denken het ook bij mij zijn dat achten 
A: 	ok 
B: 	ik noemen dit het de onderwijzer de leraar met stok 
B: 	het lijken op een uil dat zeggen maar zo staan met een stok omhoog 
B: 	hij hebben op het op zijn hoofd zeggen maar hebben die een ja ook iets zitten 
B: 	een vierkant of een rechthoek goed zeggen zijn arm lijken op een mislukken triangelvormig een kegelvormig hand 
B: 	en hij hebben een dun stok in zijn aan de rechterkant 
B: 	er steken niks uit uit het figuur 
B: 	dus het zijn een heel klein stok wat rechtop staan zeggen maar 
B: 	ja 
B: 	heel goed 
B: 	ik willen net zeggen anders zijn ze ons aan het pranken 
B: 	ik zien het niet als neus ik inzien ver ik zien het niet alsof hij iets hebben 
B: 	ja 
B: 	zoiets ja wat een beetje een een een kegelvormig ding hebben en hij staan dan zeggen maar zo voor mijn gevoel met een stok 
B: 	omhoog verticaal omhoog 
B: 	waar het stok op even kijken 
B: 	ja hij hebben in ieder geval iets op zijn hoofd zitten en dat zijn zeggen maar gewoon een blok een lang een langwerpig 
B: 	ja 
A: 	dit zijn dat gezicht beetje niets zeggen gezicht 
A: 	met die oor ja en dat dinge 
A: 	o 
A: 	waarvan ik ervan uitging dat hij aan de ander kant ook een oor hebben of een vleugel 
A: 	ok bij mij één 
A: 	ja 
A: 	ja en die ding uit zijn neus 
A: 	ja bij mij zijn dat één 
B: 	ja 
B: 	dan worden het E 
A: 	dit zijn dat gezicht met die twee oor 
A: 	die eigenlijk geen twee oor hebben 
A: 	ja bij mij vier 
B: 	dit zijn het uil 
A: 	o 
A: 	ja 
A: 	ja zestien bij mij 
B: 	dat zijn nummer E 
A: 	dit zijn de man met de twee oor 
B: 	dit gaan om het uil 
B: 	ja dat gaan om O 
