A: 	ja 
A: 	een soort beker ja 
A: 	vier 
B: 	ok dit zijn met een groot aanhangsel onderaan zo noemen ik het telkens 
B: 	en dan hebben je bovenaan nog een blok en nog een blok en linksbof zitten een ja wat zijn het voor vorm 
B: 	schuin 
B: 	ja 
B: 	ja 
A: 	dit zijn die beker 
A: 	die Cup 
A: 	met die spiraal 
A: 	ja die ja 
B: 	ja 
B: 	dat zijn voor mij A 
A: 	ja 
A: 	ja 
A: 	tien 
A: 	de beker 
A: 	ja 
A: 	ja 
A: 	vier 
B: 	dit zijn met die dat aanhangsel onderaan en met die twee blok bovenop 
A: 	de beker 
B: 	ja dat zijn voor mij L 
B: 	dit zijn met die dat aanhangsel onderaan en die twee blok bovenop 
B: 	ja 
B: 	ja dat zijn voor mij F 
