A: 	o ja ja ik vinden het vooral een robot maar 
A: 	op zich verrenkijk ja bij mij zijn dat twee 
A: 	ok 
A: 	dit zijn de man met de verrekijker of de robot 
A: 	ja dertien 
B: 	ik noemen dit de robot hij hebben twee oog die zo naar voren kijken hij hebben een heel groot vierkant aan de rechterkant 
B: 	ja ik noemen het oog 
B: 	fantasie 
B: 	hij hebben een heel groot vierkant aan de rechterkant van zijn gezicht zitten en hij hebben een antenne op zijn hoofd 
B: 	je moeten hem denken ik even zoeken want hij zijn best wel expliciet ja 
B: 	inderdaad en een heel groot vierkant aan de rechterkant 
A: 	o ja dat zijn negen bij mij 
B: 	ja 
B: 	ik zitten hem even te zoeken ja 
B: 	dat gaan om G 
A: 	dit zijn de robot verrekijker 
A: 	zeven 
B: 	mijn robot 
B: 	ja dan gaan het om d 
A: 	ja zijn één bij mij 
A: 	dit zijn de robot verrekijker 
A: 	ja negen ja 
B: 	ik zijn 
B: 	de robot 
B: 	dat zijn B 
