B: 	deze hebben eigenlijk ook een soort plateau om zich heen maar dat kunnen je niet heel goed zien tenminste je kunnen niet echt van bovenop er op op opkijken 
B: 	er liggen dan ook een soort bak op twee poot die uitsteken en achterop hebben je nog zo'n zo'n krul ding bovenop 
A: 	en er er zitten zo'n soort van omgedraaide trapezium zitten erop 
A: 	zo'n piramide en er zitten linksbof zitten nog zo'n soort van haak 
A: 	ja oké dat zijn zestien 
B: 	en dat bak dat lopen lopen af 
B: 	die poot of zo 
B: 	ja dan zijn dat P 
A: 	dit zijn die met dat met die plantenbak met dat tafel 
A: 	met die omdraaien piramide erbovenop 
B: 	dit zijn zeggen maar weer die een met dat plateau dat redelijk bovenin zitten die twee dinget die er onderuit steken en die soort bak die er op staat en dan hebben je achterop nog zo'n krullen aanhangsel 
A: 	even zoeken zoeken zoeken waar zijn die 
A: 	ja 
A: 	dat zijn veertien 
B: 	zo'n slurf ja dat zijn dan de N van Nico 
B: 	dit zijn weer degeen met dat plateau met die poot en waar die bak op staat en die slurf of dat dinge dat staart of zo dat aan de achterkant 
A: 	dit zijn weer dat tafel dat in de lucht hangen met die bak erop 
A: 	ja 
A: 	dat zijn tien 
B: 	ja en dat arm dinge nog aan de achterkant 
B: 	ja dan zijn dat D 
A: 	dit zijn weer die tafel die opgetild worden 
A: 	of tenminste dat met die plantenbakachtig 
