B: 	hebben het aan de voorkant een vierkant vlak 
B: 	o hij hebben hebben hij aan de achterkant een vlak 
B: 	o lijken het ook een beetje op een gieter of zo misschien 
B: 	nee 
B: 	hij hebben zeggen maar links een klein stuk eruit en rechts nog iets veel 
B: 	ook dan zijn het K 
A: 	deze hebben eigenlijk aan beide kant een soort van ja uitsteeksel rond en dan zijn de een lang dan de ander 
A: 	en dan hebben die linksachter een soort van vierkant met een soort staart eraan 
B: 	ok ja dit zijn de gieter met dat vlak dat je zo kunnen omklappen of zo 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	nou zeggen kunnen hem niet vinden 
A: 	een lang dan de ander 
A: 	ik oké dan weten ik niet of we dezelfde hebben 
A: 	nee 
A: 	oké wachten omschrijf hem nog eens 
A: 	ja 
A: 	ja 
A: 	ja maar ik kunnen hem gewoon nu niet vinden 
A: 	even kijken horen 
A: 	ja inderdaad ik zien hem oké nummer negen 
B: 	ja dat zijn F 
B: 	ja dit zijn die gieter met dat vierkan die ja kunnen klappen 
A: 	dat zijn die een met die ongelijk arm eigenlijk die ik toestraksen niet kunnen vinden 
B: 	ja 
B: 	dat zijn L 
A: 	wachten die die twee ongelijk arm bedoelen je 
A: 	en dan zo'n vierkan erachter 
A: 	ja oké dat zijn nummer drie 
B: 	ja dit zijn de gieter 
B: 	met dat ding dat je kunnen klappen 
A: 	dat zijn met die twee ongelijk arm en ja die dat vierkan achter met die staart 
A: 	ah dat zijn nummer vijf 
