B: 	ja I 
B: 	deze hebben die twee rechthoekjes boven elkaar aan de rechterkant van de emmer 
B: 	bovenop hebben het op zijn kop de omgedraaide trechter of heten dat een trapezoid 
B: 	en aan de aan de linkerkant hebben hij soort van 
B: 	ja 
B: 	ja 
B: 	ja c 
A: 	even kijken dit hebben een soort ik hebben het omschrijven alsof het een soort vulkaan uit het beker komen 
A: 	laten maar zeggen ja het lijken alsof er een bergje uit het beker uitsteken 
A: 	aan de rechterzijde hebben het twee ja soort van post its laat maar zeggen eraan hangen 
A: 	en aan de linkerzijde zitten er ook nog een soort handvat en dan daaronder lijken het alsof het een staart hebben 
A: 	ja 
A: 	ja maar dan zonder top 
A: 	ja laten maar zeggen wel een tipitent maar dan staan hij niet 
A: 	ik denken dat je een ander bedoelen 
A: 	laten maar zeggen wel een soort driehoek waarvan zeggen maar de top zijn afsnijden 
A: 	zo zien de bovenkant eruit 
A: 	en hij steken uit het beker 
A: 	soort plaksel 
A: 	ja je zullen het in een stopcontact kunnen zetten 
A: 	en dan links hebben het ook een soort vaa en dan een soort staar aan de onderzijde 
B: 	dit zijn die een met die twee blok nee twee rechthoekjes aan de rechterkant bovenop elkaar 
B: 	en die omgedraaide trechter bovenop 
B: 	o 
B: 	dit zijn die een met op zijn kop trechter bovenop en twee blok aan de rechterkant 
A: 	ja dat zijn nummer vijfteen 
A: 	dit zijn met die twee post its aan de rechterzijde 
A: 	ja dit zijn de half tipi 
A: 	met of ja de tipi met zonder top 
A: 	ja 
A: 	nummer achten 
A: 	de half tipi en de twee post its rechts en het staart 
A: 	ja nummer drie 
