A: 	ja zeven 
B: 	oeh deze zijn deze zijn wat ingewikkeld 
B: 	hier zitten een ongeveer op het laag kwart zitten een een plat een plat vierkant die gaan gewoon echt door het kop heen 
B: 	er zitten een soort slurf aan de voorkant 
B: 	ja precies 
B: 	twee ding steken steken erbovenuit als een soort konijnenoor 
B: 	en dan nog een gehoekt handvat 
B: 	ja 
A: 	deze hebben een vierkant aan er doorheen een vierkant plaat zeggen maar en dan twee heel klein staafjes bovenop 
A: 	ja negen 
A: 	dit zijn die met twee klein uitsteekselt bovenop en een schijf erdoorheen vierkant schijf erdoorheen 
B: 	ja 
B: 	ja dat zijn k 
B: 	deze hebben de de glijbaan en de de oort erboven 
B: 	met dat met die 
B: 	ja 
A: 	ja 
A: 	twaalf 
B: 	waar zijn die waar zijn die waar zijn die 
B: 	met die twee oort erboven 
B: 	ja dat zijn b 
A: 	dit zijn die met die twee klein dinget erbovenop en vierkant erdoorheen 
B: 	dit zijn de de glijbaan en de konijnenoor 
B: 	met het plateau erdoorheen 
B: 	ja 
B: 	yes dat zijn l 
