B: 	bij mij staan hij op een groot vierkant rechthoek 
B: 	komen een soort van gebobbeld stang door de emmer 
B: 	rond voorop 
A: 	drie bollet 
A: 	ja 
A: 	hebben het lijken net als alsof dat zijn haar zijn 
A: 	en een plat neus 
A: 	ja dat zijn nummer dat zijn nummer zes 
B: 	ja wat snel 
B: 	ja en hij zijn op dat platform 
B: 	ja 
B: 	I 
A: 	deze hebben hoe heten dat dat pippi Langkous-staart 
A: 	ja 
A: 	en dan zo'n plat neus en hij staan op iets plats 
B: 	deze hebben de staaf met kralen door de achter de emmer heen en een rond voorop 
A: 	nummer dertien 
B: 	ja 
B: 	okee o 
A: 	dit zijn pippi Langkous 
B: 	deze hebben de staal met kra erachter 
B: 	e 
A: 	dat zijn nummer een 
A: 	dit zijn pippi Langkous 
