A: 	we mogen praten nou toch 
A: 	ok 
A: 	wafel 
A: 	o 
A: 	zo'n schijf 
A: 	die ijsthee 
A: 	aight denken wel 
A: 	met een ding er in en zo'n lepel zo'n lepelachtig bovenkant er in ja 
A: 	ja ik denken 
A: 	zo'n 
A: 	ja a ja kijken ok 
A: 	ja ik weten wat het zijn 
A: 	ok nou dan moeten ik op die geel knop drukken 
A: 	o ja nummer dertien 
A: 	dan de geel knop 
B: 	oké 
B: 	ik hebben het vierkan 
B: 	dus dan moeten ik hem aan jou omschrijven denken ik 
B: 	ja het zijn gewoon dat emmer zeggen maar 
B: 	met ja zo'n soort roerstaafje erin die een beetje zo ovaal zijn 
B: 	en aan de onderkant komen er zo'n ja hoe noemen je dat zo'n afronden staafje zeggen maar uit 
B: 	dus hij staan zeggen maar op een soort poo 
B: 	en dan zitten er zo'n stok soort van in als een kop 
B: 	en er komen één zo'n buisje uit aan de linkerkant 
B: 	ja 
B: 	en aan de zijkant zitten zo'n rond schijf tegenaan 
B: 	dus je hebben aan de linkerkant zo'n uitsteeksel van het beker 
B: 	hij staan op een soort poo 
B: 	ja 
B: 	ja 
B: 	dan moeten jij 
A: 	o dit zijn dat ijstheeglas wat ik de vorig keer hebben zeggen weten je wel met die lepel er in 
A: 	jaja ja ja 
B: 	ja 
B: 	ja dat zijn bij mij O 
A: 	ja ijsthee ja ok even kijken acht 
A: 	ja 
B: 	oké 
B: 	ja hoe hebben we deze het zijn weer verplaatsen 
B: 	het zijn die met één zo'n roerstaafje erin en die staan op zo'n soort van ovaal pilaar 
B: 	en die hebben zo aan de zijkant zo'n rond schijf aan de achterkant zeggen maar 
B: 	en dan zo'n Pinokkioding ja 
B: 	ja 
A: 	ijsthee 
A: 	glas 
B: 	ja 
B: 	ja dat zijn bij mij C 
A: 	ok even kijken ja zeven 
B: 	ja dit zijn met die Pinokkioneus 
B: 	ja en dan dat één zo'n roerstaafje 
A: 	ijsthee 
A: 	o klaar o eindelijk ik hebben een beetje last van 
A: 	Hallo 
B: 	even kijken waar die zijn 
B: 	ja 
B: 	ja bij mij staan de picknicktafel helemaal rechtsboven maar C dat zijn die waar we het nu over hebben 
B: 	ik hebben een beetje honger 
